"AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome"
0,3807.20681090216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709.47836700552,0,0,0,0,0,0,0.00040630851587017,0,0,0,0,0,0,0,0,0,0
0,4.65132499534928e-05,0,0,13010.2486188966,0,0,62.7330347955352,0,0,25482.715,0,0,0,0,0,0,0
0,0,1709.47836700552,0,0,0,0,62.7330347955352,0,0,0,0,0,0,0,0,0,0
3807.20681090216,0,0,0,0,0,0,0.00040630851587017,0,0,0,0,0,0,0,0,0,0
0,4.65132499534928e-05,0,0,13010.2486188966,0,0,0.00040630851587017,0,0,25482.715,0,0,0,0,0,0,0
3807.20681090216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3807.20681090216,0,0,0,0,0,25482.715,0,0,0,0,0,0,0
0,0,0,0,13010.2486188966,0,0,62.7330347955352,0,0,0,0,0,1709.47836700552,0,0,0,0
0,0,0,0,0,0,0,4.65132499534928e-05,0,0,62.7330347955352,0,0,0,0,0,21699.7725,0
0,0,0,0,0,0,0,0,0,0,62.7330347955352,0,0,0,0,0,21699.7725,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.7725,0
0,4.65132499534928e-05,0,0,13010.2486188966,0,0,0,0,0,25482.715,0,0,0,0,0,0,0
0,0,0,0,3807.20681090216,0,0,0.00040630851587017,0,0,25482.715,0,0,0,0,0,0,4.65132499534928e-05
0,3807.20681090216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1709.47836700552,0,0,0,0,0,13010.2486188966,0
0,0,0,0,0,0,0,0,0,0,1709.47836700552,0,0,0,0,0,21699.7725,0
0,0,0,0,0,0,0,0.00040630851587017,0,0,0,0,0,0,0,0,21699.7725,0
0,0,0,0,0,0,0,0.00040630851587017,0,0,0,0,0,0,0,0,21699.7725,0
0,0,0,0,0,0,0,0,0,0,1709.47836700552,0,0,0,0,0,13010.2486188966,0
0,0,0,0,0,0,0,0,0,0,62.7330347955352,0,0,0,0,0,21699.7725,0
