"AGHE.action","AGRE.action","AMME.action","ANAR.action","CEME.action","CLPU.action","ERBO.action","ERCI.action","EUPE.action","GECA.action","HECO.action","LACA.action","LOPU.action","LOWR.action","MEPO.action","NAAT.action","PLER.action","SACA.action","environment.initial","AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome","state_idx"
0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2560.20320751736,0,0,0,0,104.366626860074,0,0,0,0,0,0,0,0,0,0,2284
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2658.52458326365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564
0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,2682
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4099
0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4311.19364287155,0,0,0.000476316703696411,0,0,29269.7187939449,0,0,0,0,0,0,0,5308
0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4311.05772670102,0,0,0.000443518723589725,0,0,29271.0595304866,0,0,0,0,0,0,0,14064
1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,3293.49136853142,0,0,0,0,0,0,0.000259812933369486,0,0,0,0,0,0,0,0,0,0,17133
0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7205.94063200052,0,0,0.0542733673320357,0,0,0,0,0,0,0,0,0,0,18940
0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21326
1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,5.46484002633351e-10,0,0,4320.85901314822,0,0,0.000699120665641076,0,0,29174.391398927,0,0,0,0,0,0,0,22239
