"AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome"
0,0,0,0,12687.1824502275,0,0,0.006135039893125,0,0,28296.55,0,0,0,0,0,0,0
1912.6476439775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,75.1375308508375,0,0,0,0,0,21699.50625,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.79393743467892e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.79393743467892e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.006135039893125,0,0,75.1375308508375,0,0,0,0,0,21699.50625,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,1912.6476439775,0,0,0,0,0,21699.50625,0
0,0,0,0,12687.1824502275,0,0,0,0,0,28296.55,0,0,0,0,0,0,4.79393743467892e-05
0,0,0,0,0,0,0,0.006135039893125,0,0,28296.55,0,0,0,0,0,0,1912.6476439775
0,4.79393743467892e-05,0,0,12687.1824502275,0,0,0.006135039893125,0,0,28296.55,0,0,0,0,0,0,0
0,0,0,0,12687.1824502275,0,0,0,0,0,28296.55,0,0,0,0,0,0,4.79393743467892e-05
0,12687.1824502275,0,0,1912.6476439775,0,0,75.1375308508375,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,1912.6476439775,0,0,0,0,0,21699.50625,0
0,0,0,0,0,0,0,0.006135039893125,0,0,1912.6476439775,0,0,0,0,0,12687.1824502275,0
0,0,0,0,0,0,0,0,0,0,75.1375308508375,0,0,0,0,0,21699.50625,0
0,0,0,0,0,0,0,0,0,0,75.1375308508375,0,0,0,0,0,21699.50625,0
0,0,0,0,0,0,0,0,0,0,75.1375308508375,0,0,0,0,0,21699.50625,0
0,0,0,0,0,0,0,0.006135039893125,0,0,0,0,0,0,0,0,21699.825,0
