"AGHE.action","AGRE.action","AMME.action","ANAR.action","CEME.action","CLPU.action","ERBO.action","ERCI.action","EUPE.action","GECA.action","HECO.action","LACA.action","LOPU.action","LOWR.action","MEPO.action","NAAT.action","PLER.action","SACA.action","environment.initial","AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome","state_idx"
0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4.73404779846364e-10,0,0,4320.68080759488,0,0,0,0,0,29176.1570821924,0,0,0,0,0,0,0,3890
1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4693
0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6502
1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,16407
0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7206.00266662613,0,0,0,0,0,0,0,0,0,0,0,0,0,17020
0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7205.93882081953,0,0,0.0558579483879488,0,0,0,0,0,0,0,0,0,0,17148
0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2658.52458326365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23044
0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,4056.57238245999,0,0,1218.64050253896,0,0,0.018523089590875,0,0,0,0,0,0,0,0,0,0,27546
0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5.78652799199859,0,0,0,0,0,3183.43163010885,0,0,0,0,31176
1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,3293.49136499163,0,0,0,0,0,0,0.000261939960751017,0,0,0,0,0,0,0,0,0,0,37553
1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,5.20747721292036e-10,0,0,4320.79830964744,0,0,0.000736549418210136,0,0,29174.9897100209,0,0,0,0,0,0,0,38579
1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4309.37219118247,0,0,0,0,0,29287.6865486065,0,0,0,0,0,0,0,42357
0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,6321.08571443439,0,0,0.0841859647174482,0,0,0,0,0,409.698616325968,0,0,0,0,43452
1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,3293.49138914534,0,0,0,0,0,0,0.000247426187164596,0,0,0,0,0,0,0,0,0,0,43965
0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,4056.575,0,0,1218.659,0,0,0,0,0,0,0,0,0,0,0,0,0,45438
1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4309.454,0,0,0.0001565919,0,0,29286.88,0,0,0,0,0,0,0,50673
