"AGHE.action","AGRE.action","AMME.action","ANAR.action","CEME.action","CLPU.action","ERBO.action","ERCI.action","EUPE.action","GECA.action","HECO.action","LACA.action","LOPU.action","LOWR.action","MEPO.action","NAAT.action","PLER.action","SACA.action","environment.initial","AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome","state_idx"
0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4146.16954599794,0,0,0,0,0,0.0522035019891868,0,0,0,0,0,0,0,0,0,0,718
1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,5.39927712860874e-10,0,0,4320.84375100824,0,0,0.000731851562402022,0,0,29174.5415606521,0,0,0,0,0,0,0,1247
0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4.47444266273207e-10,0,0,4320.60955047014,0,0,0.000970349582756013,0,0,29176.8488295023,0,0,0,0,0,0,0,1682
0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4.67440916221285e-10,0,0,4320.66357952734,0,0,0.000905404628177907,0,0,29176.3166666758,0,0,0,0,0,0,0,1982
1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4309.44288827132,0,0,0,0,0,29286.9893771321,0,0,0,0,0,0,0,3897
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2576.31988444394,0,0,0,0,87.2349864418582,0,0,0,0,0,0,0,0,0,0,4492
0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,4056.57232853563,0,0,1218.64003474631,0,0,0.0189872166459509,0,0,0,0,0,0,0,0,0,0,5118
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4309.40043454688,0,0,0,0,0,29287.4080299135,0,0,0,0,0,0,0,5137
0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,4.60529869907889e-10,0,0,4320.64511877589,0,0,0.000939753166552402,0,0,29176.4983582784,0,0,0,0,0,0,0,5370
0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,6202
0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7206.00266662613,0,0,0,0,0,0,0,0,0,0,0,0,0,6736
1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,3293.49135525514,0,0,0,0,0,0,0.000267790543493145,0,0,0,0,0,0,0,0,0,0,7145
0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4311.20140290169,0,0,0,0,0,29269.6477069059,0,0,0,0,0,0,0,7740
0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4056.57236092502,0,0,1218.64031572353,0,0,0.0187084411499115,0,0,0,0,0,0,0,0,0,0,8606
1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,3293.49137430308,0,0,0,0,0,0,0.000256344785550263,0,0,0,0,0,0,0,0,0,0,9113
1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,4056.57281871784,0,0,1218.6442870658,0,0,0.0147682174654856,0,0,0,0,0,0,0,0,0,0,9175
0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,5.73406128783442e-10,0,0,4320.91943975763,0,0,0.000927790915567064,0,0,29173.7927790078,0,0,0,0,0,0,0,9978
0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4311.06993922385,0,0,0,0,0,29270.9441600186,0,0,0,0,0,0,0,10096
0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,6.32352932672392e-10,0,0,4321.04588680185,0,0,0,0,0,29172.5561837941,0,0,0,0,0,0,0,11314
1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,4309.44613227154,0,0,0.000157363471903577,0,0,29286.9555895385,0,0,0,0,0,0,0,12281
1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13159
1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4309.40248196351,0,0,0,0,0,29287.3878395443,0,0,0,0,0,0,0,14097
1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14929
0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4146.16959253827,0,0,0,0,0,0.0519595017507826,0,0,0,0,0,0,0,0,0,0,16618
0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4056.57222425873,0,0,1218.63913014625,0,0,0.01988472826684,0,0,0,0,0,0,0,0,0,0,17074
1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23057
1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,3293.49139721759,0,0,0,0,0,0,0.000242575637263999,0,0,0,0,0,0,0,0,0,0,23453
1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,4056.57285216885,0,0,1218.64457725252,0,0,0.0144803045435073,0,0,0,0,0,0,0,0,0,0,23455
1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24697
0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,4056.57247402251,0,0,1218.64129684184,0,0,0.0177350107748538,0,0,0,0,0,0,0,0,0,0,25598
0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4311.06678801622,0,0,0,0,0,29270.9752361931,0,0,0,0,0,0,0,26136
0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,6.24161590401763e-10,0,0,4321.02770402508,0,0,0.000859714718750748,0,0,29172.7257078171,0,0,0,0,0,0,0,26262
0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,4146.17118113813,0,0,0,0,0,0.0436308385028468,0,0,0,0,0,0,0,0,0,0,28902
1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29529
1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,3293.49138512186,0,0,0,0,0,0,0.000249843862018948,0,0,0,0,0,0,0,0,0,0,29665
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4056.57269172692,0,0,1218.64318542265,0,0,0.0158612284927292,0,0,0,0,0,0,0,0,0,0,32955
0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7206.00266662613,0,0,0,0,0,0,0,0,0,0,0,0,0,33144
1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3293.4913618865,0,0,0,0,0,0,0.000263805810444879,0,0,0,0,0,0,0,0,0,0,33233
0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7206.00266662613,0,0,0,0,0,0,0,0,0,0,0,0,0,33404
1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33609
0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,4056.57215392775,0,0,1218.63852002629,0,0,0.0204900673038949,0,0,0,0,0,0,0,0,0,0,33786
0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,4.6457355694099e-10,0,0,4320.65587126341,0,0,0.000965615174026438,0,0,29176.3920078975,0,0,0,0,0,0,0,34554
1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4056.57275377566,0,0,1218.64372369404,0,0,0.0153271748369663,0,0,0,0,0,0,0,0,0,0,35063
1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,3293.49136169388,0,0,0,0,0,0,0.000263921558085316,0,0,0,0,0,0,0,0,0,0,35309
1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,3293.49137884507,0,0,0,0,0,0,0.000253615541355205,0,0,0,0,0,0,0,0,0,0,37557
0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37734
0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,4.9463598304396e-10,0,0,4320.73529185351,0,0,0,0,0,29175.6196871488,0,0,0,0,0,0,0,38258
1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,5.46447723612162e-10,0,0,4320.86011538213,0,0,0,0,0,29174.3885122997,0,0,0,0,0,0,0,40211
0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,4311.20069971147,0,0,0,0,0,29269.6546415527,0,0,0,0,0,0,0,40312
0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,4056.57233111831,0,0,1218.64005715095,0,0,0.018964987568812,0,0,0,0,0,0,0,0,0,0,41654
1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,3293.49136773759,0,0,0,0,0,0,0.000260289938755124,0,0,0,0,0,0,0,0,0,0,41677
0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,6.4279187136946e-10,0,0,4321.06693015539,0,0,0,0,0,29172.3486254675,0,0,0,0,0,0,0,42066
0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,4056.57228381918,0,0,1218.63964683195,0,0,0.0193720913208766,0,0,0,0,0,0,0,0,0,0,43514
1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,43579
0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,6.830965e-10,0,0,4321.144,0,0,0.0008805262,0,0,29171.58,0,0,0,0,0,0,0,46294
1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,6.698523e-10,0,0,4321.119,0,0,0.0007193932,0,0,29171.83,0,0,0,0,0,0,0,46491
1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,4056.573,0,0,1218.644,0,0,0.0151015,0,0,0,0,0,0,0,0,0,0,47259
1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,4146.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47655
1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,4146.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47907
1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,5.143571e-10,0,0,4320.783,0,0,0.0007282625,0,0,29175.14,0,0,0,0,0,0,0,50331
1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4309.453,0,0,0.0001570528,0,0,29286.89,0,0,0,0,0,0,0,50641
1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4309.435,0,0,0.0001526948,0,0,29287.07,0,0,0,0,0,0,0,50645
1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4056.575,0,0,1218.659,0,0,0,0,0,0,0,0,0,0,0,0,0,51223
1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,5.668671e-10,0,0,4320.906,0,0,0,0,0,29173.93,0,0,0,0,0,0,0,53023
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6230.637,0,0,0,53768
1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,3293.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54085
1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,4309.401,0,0,0,0,0,29287.4,0,0,0,0,0,0,0,54869
0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,4056.575,0,0,1218.659,0,0,0,0,0,0,0,0,0,0,0,0,0,55314
0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,6.506926e-10,0,0,4321.081,0,0,0.0008615665,0,0,29172.2,0,0,0,0,0,0,0,59038
0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,4311.074,0,0,0,0,0,29270.91,0,0,0,0,0,0,0,59228
0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,4311.074,0,0,0,0,0,29270.91,0,0,0,0,0,0,0,61044
0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3185.128,0,0,0,0,62316
0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,6.007636e-10,0,0,4320.979,0,0,0.0008566832,0,0,29173.21,0,0,0,0,0,0,0,62874
0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,4146.171,0,0,0,0,0,0.04364902,0,0,0,0,0,0,0,0,0,0,63686
1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.092578e-05,0,0,0,0,0,0,0,0,21699.97,0,68507
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,181.0775,0,0,0,0,0,21699.45,0,68612
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116.1163,0,0,0,0,0,21699.64,0,68675
0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,69920
0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,76642
0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.000109081,0,0,0,0,0,0,0,0,21699.97,0,78534
0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0001068057,0,0,135.6289,0,0,0,0,0,21699.58,0,79748
0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96.03354,0,0,0,0,0,21699.7,0,81234
1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105.6022,0,0,0,0,0,21699.67,0,81259
1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.846062e-05,0,0,102.8736,0,0,0,0,0,21699.68,0,83089
1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.905493e-05,0,0,0,0,0,0,0,0,21699.97,0,84723
0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0001086283,0,0,0,0,0,0,0,0,21699.97,0,84890
0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0001062554,0,0,102.0366,0,0,0,0,0,21699.68,0,85658
0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99.56139,0,0,0,0,0,21699.69,0,85822
0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107.9518,0,0,0,0,0,21699.66,0,87056
1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96.37416,0,0,0,0,0,21699.7,0,87159
0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,88388
0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,178.6685,0,0,0,0,0,21699.46,0,89640
0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,90902
0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0001150705,0,0,0,0,0,0,0,0,21699.97,0,92896
1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8.469598e-05,0,0,94.04391,0,0,0,0,0,21699.7,0,93435
1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92.02167,0,0,0,0,0,21699.71,0,93463
0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,138.3354,0,0,0,0,0,21699.58,0,93704
0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.000104073,0,0,0,0,0,0,0,0,21699.97,0,94356
1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8.700368e-05,0,0,0,0,0,0,0,0,21699.97,0,94929
0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,95064
1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8.482236e-05,0,0,0,0,0,0,0,0,21699.97,0,96469
