"AGHE.action","AGRE.action","AMME.action","ANAR.action","CEME.action","CLPU.action","ERBO.action","ERCI.action","EUPE.action","GECA.action","HECO.action","LACA.action","LOPU.action","LOWR.action","MEPO.action","NAAT.action","PLER.action","SACA.action","environment.initial","AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome","state_idx"
1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,4056.57277242475,0,0,1218.6438854744,0,0,0.0151666621362467,0,0,0,0,0,0,0,0,0,0,41395
1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,4309.4194347488,0,0,0.000153202524843765,0,0,29287.2189118246,0,0,0,0,0,0,0,43005
0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,6321.0692070311,0,0,0.0846195627136958,0,0,0,0,0,409.705990856282,0,0,0,0,43420
0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,6.850136e-10,0,0,4321.148,0,0,0.0009000153,0,0,29171.54,0,0,0,0,0,0,0,44254
0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,6.520165e-10,0,0,4321.085,0,0,0,0,0,29172.17,0,0,0,0,0,0,0,44594
1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,3293.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45089
0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,4146.171,0,0,0,0,0,0.04601131,0,0,0,0,0,0,0,0,0,0,45262
0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,4146.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45858
1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,4056.575,0,0,1218.659,0,0,0,0,0,0,0,0,0,0,0,0,0,45875
0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,4146.171,0,0,0,0,0,0.04688678,0,0,0,0,0,0,0,0,0,0,48042
0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,7.000221e-10,0,0,4321.177,0,0,0,0,0,29171.26,0,0,0,0,0,0,0,49022
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3293.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49409
1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,4309.434,0,0,0,0,0,29287.08,0,0,0,0,0,0,0,50801
1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4056.575,0,0,1218.659,0,0,0,0,0,0,0,0,0,0,0,0,0,53307
1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,3293.491,0,0,0,0,0,0,0.0002447718,0,0,0,0,0,0,0,0,0,0,53501
1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,3293.491,0,0,0,0,0,0,0.0002500652,0,0,0,0,0,0,0,0,0,0,60089
0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3185.128,0,0,0,0,60232
0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,4311.074,0,0,0,0,0,29270.91,0,0,0,0,0,0,0,61012
0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.988766,0,0,0,0,0,3183.372,0,0,0,0,62184
0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,4056.572,0,0,1218.641,0,0,0.017597,0,0,0,0,0,0,0,0,0,0,64182
0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,4311.059,0,0,0.000413075,0,0,29271.04,0,0,0,0,0,0,0,65464
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,65648
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.681215e-05,0,0,0,0,0,0,0,0,21699.97,0,66177
1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.980092e-05,0,0,0,0,0,0,0,0,21699.97,0,68255
1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,101.9661,0,0,0,0,0,21699.68,0,68921
0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0001088532,0,0,108.2097,0,0,0,0,0,21699.66,0,69588
1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113.9722,0,0,0,0,0,21699.65,0,71427
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,72537
1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97.55965,0,0,0,0,0,21699.69,0,73075
0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000112094,0,0,109.1041,0,0,0,0,0,21699.66,0,73464
1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.751254e-05,0,0,95.39857,0,0,0,0,0,21699.7,0,74907
1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,76365
1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,76383
1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.940304e-05,0,0,0,0,0,0,0,0,21699.97,0,76539
0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96.60217,0,0,0,0,0,21699.7,0,76822
0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,117.618,0,0,0,0,0,21699.64,0,77358
1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.72277e-05,0,0,115.0177,0,0,0,0,0,21699.64,0,77773
0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0001088077,0,0,0,0,0,0,0,0,21699.97,0,78042
1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,78455
0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,78604
