"AGHE.action","AGRE.action","AMME.action","ANAR.action","CEME.action","CLPU.action","ERBO.action","ERCI.action","EUPE.action","GECA.action","HECO.action","LACA.action","LOPU.action","LOWR.action","MEPO.action","NAAT.action","PLER.action","SACA.action","environment.initial","AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome","state_idx"
1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2149
1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4433
1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4963
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,6419
0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,5.15770000338035e-10,0,0,4320.78599458266,0,0,0.000904201072914063,0,0,29175.1092626296,0,0,0,0,0,0,0,7902
0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4311.06651234438,0,0,0.00043871448476772,0,0,29270.9729442359,0,0,0,0,0,0,0,9916
1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,7.12468831742267e-10,0,0,4321.19896753119,0,0,0.000719884129209669,0,0,29171.0380683701,0,0,0,0,0,0,0,11967
0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6320.94953240327,0,0,0.0826858324796182,0,0,0,0,0,409.761980310143,0,0,0,0,13212
0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,4056.57233785039,0,0,1218.64011555158,0,0,0.0189070445568125,0,0,0,0,0,0,0,0,0,0,13234
0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,6.07950441130976e-10,0,0,4320.99548269238,0,0,0,0,0,29173.0533377378,0,0,0,0,0,0,0,13594
1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4309.3802819593,0,0,0,0,0,29287.6067623542,0,0,0,0,0,0,0,13877
