"AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome"
0,2165.8653125,0,0,0,0,0,92.79617029,0,0,0,0,0,0,0,0,0,0
0,4818.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4818.534,0,0,0,0,0,28305.82,0,0,0,0,0,0,0
0,0,0,0,4818.534,0,0,0,0,0,28305.82,0,0,0,0,0,0,0
0,0,0,0,0,0,0,13595.2875,0,0,0,0,2165.8653125,0,0,0,0,0
0,2165.8653125,0,0,0,0,0,92.79617029,0,0,0,0,0,0,0,0,0,0
0,2165.8653125,0,0,2165.8653125,0,0,0.0174067590525,0,0,0,0,0,0,0,0,0,0
0,2165.8653125,0,0,0,0,0,92.79617029,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4818.534,0,0,0,0,0,28305.82,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2165.8653125,0,0,0,0
0,4818.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2165.8653125,0,0,0,0,0,92.79617029,0,0,0,0,0,0,0,0,0,0
0,4818.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2165.8653125,0,0,2165.8653125,0,0,0.0174067590525,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13595.2875,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4818.534,0,0,0,0,0,28305.82,0,0,0,0,0,0,0
0,4.89692861272038e-05,0,0,4818.534,0,0,0,0,0,28305.82,0,0,0,0,0,0,0
0,4.89692861272038e-05,0,0,4818.534,0,0,0,0,0,28305.82,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13595.2875,0,0,0
0,0,0,0,4818.534,0,0,0.0174067590525,0,0,28305.82,0,0,0,0,0,0,0
0,2165.8653125,0,0,0,0,0,92.79617029,0,0,0,0,0,0,0,0,0,0
2165.8653125,0,0,0,0,0,0,0.0174067590525,0,0,0,0,0,0,0,0,0,0
