"Tetra.action","Colp.action","Dexio.action","Loxo.action","Para.action","Spiro.action"
0,0.00120196391733333,0.00120196391733333,0.00120196391733333,0,0
0,0.00576774503285276,0.00576774503285276,0.00576774503285276,0,0
0,0.000931323012196281,0.000931323012196281,0.000931323012196281,0,0
0,0.0126091855361571,0,0,0.0126091855361571,0
0,0.016138063069708,0,0,0.016138063069708,0
0,0.0197844995126306,0,0,0.0197844995126306,0
0,0,0.00120196391733333,0.00120196391733333,0.00120196391733333,0.00120196391733333
0,0,0.00576774503285276,0.00576774503285276,0.00576774503285276,0.00576774503285276
0,0,0.000931323012196281,0.000931323012196281,0.000931323012196281,0.000931323012196281
0,0,0,0.0126091855361571,0.0126091855361571,0
0,0,0,0.016138063069708,0.016138063069708,0
0,0,0,0.0197844995126306,0.0197844995126306,0
0,0,0,0,0.00120196391733333,0.00120196391733333
0,0,0,0,0.00576774503285276,0.00576774503285276
0,0,0,0,0.000931323012196281,0.000931323012196281
0,0,0.0126091855361571,0.0126091855361571,0,0.0126091855361571
0,0,0.016138063069708,0.016138063069708,0,0.016138063069708
0,0,0.0197844995126306,0.0197844995126306,0,0.0197844995126306
0.00120196391733333,0.00120196391733333,0,0.00120196391733333,0.00120196391733333,0
0.00576774503285276,0.00576774503285276,0,0.00576774503285276,0.00576774503285276,0
0.000931323012196281,0.000931323012196281,0,0.000931323012196281,0.000931323012196281,0
0.0126091855361571,0.0126091855361571,0,0.0126091855361571,0,0.0126091855361571
0.016138063069708,0.016138063069708,0,0.016138063069708,0,0.016138063069708
0.0197844995126306,0.0197844995126306,0,0.0197844995126306,0,0.0197844995126306
0.00120196391733333,0,0.00120196391733333,0.00120196391733333,0,0.00120196391733333
0.00576774503285276,0,0.00576774503285276,0.00576774503285276,0,0.00576774503285276
0.000931323012196281,0,0.000931323012196281,0.000931323012196281,0,0.000931323012196281
0.0126091855361571,0,0,0.0126091855361571,0.0126091855361571,0
0.016138063069708,0,0,0.016138063069708,0.016138063069708,0
0.0197844995126306,0,0,0.0197844995126306,0.0197844995126306,0
