"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0.0146560469352484,0,0.0244158510285766,0.0805748518003197,0.0146560469352484
0,0.00953576,0,0.00548176875,0.0244158510285766,0.00107747362087605
0,0.00953576,0,0.0003108312725,0.0244158510285766,0.0244158510285766
0,0,0,0,0.0244158510285766,0
0,0,0,0.00107747362087605,0.00107747362087605,0
0,0,0,0.00243997783337605,0.0244158510285766,0
0,0,0,0,0,0
0,0,0,0,0,0.0805748518003197
0,0,0,0,0,0.0805748518003197
0,0.0244158510285766,0,0,0.0244158510285766,0.00548176875
0,0.0244158510285766,0,0,0.00243997783337605,0.0805748518003197
0,0.00243997783337605,0,0,0.00548176875,0.0244158510285766
0.00548176875,0,0,0,0,0
0.00107747362087605,0,0,0,0,0
0.0003108312725,0,0,0,0,0
0.0003108312725,0,0.0003108312725,0.0003108312725,0.00953576,0
0.00107747362087605,0.00953576,0.0003108312725,0.00107747362087605,0.0146560469352484,0
0.00243997783337605,0.0146560469352484,0,0.0146560469352484,0.0805748518003197,0
0.00107747362087605,0.0805748518003197,0.00107747362087605,0.00953576,0,0.0805748518003197
0.00243997783337605,0.0146560469352484,0.00107747362087605,0.00953576,0,0.00548176875
0.00243997783337605,0.00548176875,0.00107747362087605,0.00548176875,0,0.0244158510285766
0.0003108312725,0.00243997783337605,0.00107747362087605,0,0.0146560469352484,0.0805748518003197
0.0003108312725,0.0244158510285766,0,0,0.0146560469352484,0.0805748518003197
0.0003108312725,0.0244158510285766,0,0,0.0146560469352484,0.0805748518003197
0,0.00953576,0,0.0003108312725,0.00953576,0
0.00107747362087605,0.00953576,0,0.0146560469352484,0.0805748518003197,0
0,0.00953576,0,0.0003108312725,0.00953576,0
0.00243997783337605,0.0146560469352484,0,0,0.00953576,0.0805748518003197
0.00243997783337605,0.00243997783337605,0,0,0.00953576,0.0805748518003197
0.00107747362087605,0.0146560469352484,0,0,0.00953576,0.00548176875
