Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_0-0-1-0-0-0-0-1-0.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00087957	0	0	0	0	0.00080836	0	0.00168793	0	0	0.521094	0	0	0	0	0.478906	0	0	0	25	0	0	0	0	25	0	50	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00328221	0	0	0	0	0.00678225	0	0.0100645	0	0	0.326119	0	0	0	0	0.673881	0	0	0	20	0	0	0	0	23	0	43	0	0	0.465116	0	0	0	0	0.534884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0134168	0	0	0	0	0.058137	0	0.0715538	0	0	0.187507	0	0	0	0	0.812493	0	0	0	18	0	0	0	0	23	0	41	0	0	0.439024	0	0	0	0	0.560976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	2	0	2	0	0	0.0508403	0	0	0	0	0.022255	0	0.0730953	0	0	0.695535	0	0	0	0	0.304465	0	0	0	16	0	0	0	0	5	0	21	0	0	0.761905	0	0	0	0	0.238095	0	0	0	0.00795155	0	0	0	0	0.301374	0	0.309326	0	0	0.0257061	0	0	0	0	0.974294	0	0	0	1	0	0	0	0	12	0	13	0	0	0.0769231	0	0	0	0	0.923077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	3	0	0	0	0	5	0	8	0	0	0.0235723	0	0	0	0	0	0	0.0235723	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0.251614	0	0	0	0	0.790399	0	1.04201	0	0	0.241469	0	0	0	0	0.758531	0	0	0	11	0	0	0	0	16	0	27	0	0	0.407407	0	0	0	0	0.592593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	11	0	0	0	0	10	0	21	0	0	0	0	0	0	0	0.00012166	0	0.00012166	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0.698992	0	0	0	0	1.21694	0	1.91593	0	0	0.364832	0	0	0	0	0.635168	0	0	0	17	0	0	0	0	16	0	33	0	0	0.515152	0	0	0	0	0.484848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	16	0	0	0	0	16	0	32	0	0	0	0	0	0	0	0.00122259	0	0.00122259	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	1	0	0	0	1.1796	0	0	0	0	1.62386	0	2.80347	0	0	0.420766	0	0	0	0	0.579234	0	0	0	17	0	0	0	0	16	0	33	0	0	0.515152	0	0	0	0	0.484848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	17	0	0	0	0	21	0	38	0	0	0.00034848	0	0	0	0	0.00903013	0	0.00937861	0	0	0.0371569	0	0	0	0	0.962843	0	0	0	2	0	0	0	0	6	0	8	0	0	0.25	0	0	0	0	0.75	0	0	0	1.50066	0	0	0	0	2.02301	0	3.52366	0	0	0.425879	0	0	0	0	0.574121	0	0	0	16	0	0	0	0	16	0	32	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	21	0	0	0	0	23	0	44	0	0	0.00212155	0	0	0	0	0.00463968	0	0.00676122	0	0	0.313782	0	0	0	0	0.686219	0	0	0	5	0	0	0	0	11	0	16	0	0	0.3125	0	0	0	0	0.6875	0	0	0	1.64436	0	0	0	0	2.47719	0	4.12155	0	0	0.398966	0	0	0	0	0.601034	0	0	0	14	0	0	0	0	17	0	31	0	0	0.451613	0	0	0	0	0.548387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	23	0	0	0	0	28	0	51	0	0	0.0100888	0	0	0	0	0.0208488	0	0.0309376	0	0	0.326101	0	0	0	0	0.673899	0	0	0	7	0	0	0	0	16	0	23	0	0	0.304348	0	0	0	0	0.695652	0	0	0	1.71202	0	0	0	0	2.73793	0	4.44995	0	0	0.384728	0	0	0	0	0.615272	0	0	0	12	0	0	0	0	18	0	30	0	0	0.4	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
